date,year,month,business_unit,revenue,cogs,gross_profit,opex,ebitda,capex,accounts_receivable,inventory,accounts_payable,operating_cash_flow,net_cash_flow
2023-01-01,2023,1,LTX Industrial - Divisão Metalmecânica,1546523,985201,561322,365906,195416,108681,1928213,1129826,903848,194861,86180
2023-01-01,2023,1,LTX Industrial - Divisão Automação,1054673,656517,398156,212020,186136,88345,1528994,763989,626676,157737,69392
2023-02-01,2023,2,LTX Industrial - Divisão Metalmecânica,1632406,998192,634214,361736,272478,81628,2258524,1139783,985857,243625,161997
2023-02-01,2023,2,LTX Industrial - Divisão Automação,1105123,693034,412089,232057,180032,63282,1522554,771994,750045,152762,89480
2023-03-01,2023,3,LTX Industrial - Divisão Metalmecânica,1721709,1096613,625096,427468,197628,127138,2223387,1238406,1212053,177082,49944
2023-03-01,2023,3,LTX Industrial - Divisão Automação,1154644,703998,450646,232914,217732,85012,1475212,914322,699431,202088,117076
2023-04-01,2023,4,LTX Industrial - Divisão Metalmecânica,1944038,1149103,794935,483053,311882,124211,2880772,1572487,1240307,317932,193721
2023-04-01,2023,4,LTX Industrial - Divisão Automação,1236915,731955,504960,250180,254780,52893,1628526,864735,840739,230399,177506
2023-05-01,2023,5,LTX Industrial - Divisão Metalmecânica,1989272,1218551,770721,411871,358850,126593,2431616,1701177,1379001,302616,176023
2023-05-01,2023,5,LTX Industrial - Divisão Automação,1288839,810586,478253,303319,174934,75095,1844819,909650,816697,143735,68640
2023-06-01,2023,6,LTX Industrial - Divisão Metalmecânica,2145162,1324418,820744,464523,356221,135504,2774326,1586063,1481867,342663,207159
2023-06-01,2023,6,LTX Industrial - Divisão Automação,1433435,872005,561430,295258,266172,163301,2047282,1106036,986490,246849,83548
2023-07-01,2023,7,LTX Industrial - Divisão Metalmecânica,2038450,1234592,803858,410280,393578,65494,2465360,1593763,1227563,364982,299488
2023-07-01,2023,7,LTX Industrial - Divisão Automação,1411145,839571,571574,311184,260390,76555,1790234,942917,828593,221254,144699
2023-08-01,2023,8,LTX Industrial - Divisão Metalmecânica,2018146,1268378,749768,467544,282224,132688,2908353,1466208,1481170,263431,130743
2023-08-01,2023,8,LTX Industrial - Divisão Automação,1329659,842691,486968,287073,199895,41052,1686513,1034936,965222,201878,160826
2023-09-01,2023,9,LTX Industrial - Divisão Metalmecânica,1711251,1044966,666285,377964,288321,75545,2115037,1255301,1236061,255623,180078
2023-09-01,2023,9,LTX Industrial - Divisão Automação,1202254,748019,454235,262309,191926,88448,1789836,879322,784802,167835,79387
2023-10-01,2023,10,LTX Industrial - Divisão Metalmecânica,1805303,1051071,754232,416083,338149,100235,2194244,1244041,1232359,295121,194886
2023-10-01,2023,10,LTX Industrial - Divisão Automação,1186322,722905,463417,295729,167688,48313,1662797,960369,702151,160877,112564
2023-11-01,2023,11,LTX Industrial - Divisão Metalmecânica,1723085,1064760,658325,399198,259127,103148,2114375,1438055,1060750,214187,111039
2023-11-01,2023,11,LTX Industrial - Divisão Automação,1110656,683557,427099,259758,167341,35912,1503414,798359,747505,141042,105130
2023-12-01,2023,12,LTX Industrial - Divisão Metalmecânica,1742650,1051173,691477,430149,261328,149822,2269487,1192074,1237659,267982,118160
2023-12-01,2023,12,LTX Industrial - Divisão Automação,1112405,689245,423160,267935,155225,144179,1511641,808178,639571,156990,12811
2024-01-01,2024,1,LTX Industrial - Divisão Metalmecânica,1759196,1087158,672038,381660,290378,86730,2494164,1488463,1267763,286344,199614
2024-01-01,2024,1,LTX Industrial - Divisão Automação,1143660,669096,474564,237974,236590,84420,1580456,737851,622554,231814,147394
2024-02-01,2024,2,LTX Industrial - Divisão Metalmecânica,1709200,1007827,701373,388734,312639,116886,2385339,1176417,1122370,271981,155095
2024-02-01,2024,2,LTX Industrial - Divisão Automação,1177868,735919,441949,273832,168117,81707,1645815,934979,683008,146484,64777
